room_id,room_name,is_laboratory
LAB1,Laboratory 1,TRUE
LAB2,CiscoLab,TRUE
LAB3,Laboratory 1,TRUE
MAC_LAB,Mac Laboratory,TRUE
SHL-211,SHL-211,FALSE
SHL-210,SHL-210,FALSE
SHL-209,SHL-209,FALSE
JPL-202,JPL-202,FALSE
JPL-204,JPL-204,FALSE
JPL-206,JPL-206,FALSE
JPL-207,JPL-207,FALSE
SHL-212,SHL-212,FALSE
SHL-213,SHL-213,FALSE
SHL-214,SHL-214,FALSE
